ts_code,trade_date,lookback_n,is_full_window,open,high,low,close,vol,amount,TR,MA,ATR,Z,adf_pvalue,kpss_pvalue,hurst,adf_ok,kpss_ok,hurst_ok,ou_valid,ou_a,ou_b,kappa,theta,sigma_ou,HL,half_life,steady_std_s,kappa_cv,kappa_mean,kappa_recent_positive,kappa_n_windows,hl_ok,kappa_cv_ok,grid_K,grid_n_layers,grid_spacing,grid_depth_z,grid_depth_ok,mean_reversion_pass,grid_1_buy,grid_1_sell,grid_2_buy,grid_2_sell,grid_3_buy,grid_3_sell,grid_4_buy,grid_4_sell,grid_5_buy,grid_5_sell
600519.SH,2024-01-29,1,False,1525.95,1544.82,1525.95,1534.98,31420.68,5189014.946,21.639999999999873,1518.6526666666666,26.074000000000034,0.6261921198639786,1.0,0.0,0.5,False,False,False,False,,,,,,,,,inf,,False,0,False,False,0.25,5,6.518500000000008,1.25,False,False,1512.13,1518.65,1505.62,1512.13,1499.1,1505.62,1492.58,1499.1,1486.06,1492.58
600519.SH,2024-01-30,2,False,1534.96,1534.96,1497.77,1500.56,30866.33,5010784.454,37.210000000000036,1516.916,26.07000000000003,-0.6273878020713455,1.0,0.0,0.5,False,False,False,False,,,,,,,,,inf,,False,0,False,False,0.25,5,6.517500000000007,1.25,False,False,1510.4,1516.92,1503.88,1510.4,1497.36,1503.88,1490.85,1497.36,1484.33,1490.85
600519.SH,2024-01-31,3,False,1500.56,1507.04,1486.72,1493.03,29649.12,4770104.891,20.319999999999936,1514.6466666666668,26.20700000000003,-0.8248432352679347,1.0,0.0,0.5,False,False,False,False,,,,,,,,,inf,,False,0,False,False,0.25,5,6.551750000000007,1.25,False,False,1508.09,1514.65,1501.54,1508.09,1494.99,1501.54,1488.44,1494.99,1481.89,1488.44
600519.SH,2024-02-01,4,False,1493.58,1510.69,1489.39,1497.79,26485.15,4272298.576,21.299999999999955,1512.38,25.82700000000002,-0.5649126882719686,1.0,0.0,0.5,False,False,False,False,,,,,,,,,inf,,False,0,False,False,0.25,5,6.456750000000005,1.25,False,False,1505.92,1512.38,1499.47,1505.92,1493.01,1499.47,1486.55,1493.01,1480.1,1486.55
600519.SH,2024-02-02,5,False,1502.42,1514.31,1470.79,1484.74,39382.02,6336691.194,43.51999999999998,1509.4613333333332,26.76800000000002,-0.9235405459254767,1.0,0.0,0.5,False,False,False,False,,,,,,,,,inf,,False,0,False,False,0.25,5,6.692000000000005,1.25,False,False,1502.77,1509.46,1496.08,1502.77,1489.39,1496.08,1482.69,1489.39,1476.0,1482.69
600519.SH,2024-02-05,6,False,1484.74,1523.29,1484.04,1516.38,53130.36,8590683.071,39.25,1508.8413333333333,27.644000000000016,0.2727053489605994,1.0,0.0,0.5,False,False,False,False,,,,,,,,,inf,,False,0,False,False,0.25,5,6.911000000000004,1.25,False,False,1501.93,1508.84,1495.02,1501.93,1488.11,1495.02,1481.2,1488.11,1474.29,1481.2
600519.SH,2024-02-06,7,False,1516.38,1567.98,1512.74,1559.17,52472.04,8740646.588,55.24000000000001,1511.1093333333333,29.603500000000007,1.6234792057245506,1.0,0.0,0.5,False,False,False,False,,,,,,,,,inf,,False,0,False,False,0.25,5,7.400875000000002,1.25,False,False,1503.71,1511.11,1496.31,1503.71,1488.91,1496.31,1481.51,1488.91,1474.1,1481.51
600519.SH,2024-02-07,8,False,1563.85,1595.07,1545.78,1591.72,52601.07,8899606.867,49.289999999999964,1519.4193333333335,31.069500000000005,2.327062446021549,1.0,0.0,0.5,False,False,False,False,,,,,,,,,inf,,False,0,False,False,0.25,5,7.767375000000001,1.25,False,False,1511.65,1519.42,1503.88,1511.65,1496.12,1503.88,1488.35,1496.12,1480.58,1488.35
600519.SH,2024-02-08,9,False,1600.11,1604.75,1567.54,1587.07,46756.54,7953438.044,37.210000000000036,1525.3186666666666,32.005500000000005,1.9293975514625101,1.0,0.0,0.5,False,False,False,False,,,,,,,,,inf,,False,0,False,False,0.25,5,8.001375000000001,1.25,False,False,1517.32,1525.32,1509.32,1517.32,1501.31,1509.32,1493.31,1501.31,1485.31,1493.31
600519.SH,2024-02-19,10,False,1616.72,1616.78,1570.33,1577.24,36977.44,6288277.98,46.450000000000045,1529.0666666666666,33.7765,1.426238163614744,1.0,0.0,0.5,False,False,False,False,,,,,,,,,inf,,False,0,False,False,0.25,5,8.444125,1.25,False,False,1520.62,1529.07,1512.18,1520.62,1503.73,1512.18,1495.29,1503.73,1486.85,1495.29
